City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Huarmey,PE,-10.0681,-78.1522,70.9,80,97,8.14,overcast clouds
284,Arua,UG,3.0201,30.9111,64.76,94,99,3.11,overcast clouds
285,Bathsheba,BB,13.2167,-59.5167,77.61,69,20,16.11,few clouds
286,Kosa,RU,59.9445,54.9977,29.62,95,100,14.41,light snow
287,Nuuk,GL,64.1835,-51.7216,25.41,68,20,19.57,few clouds
288,Pervomayskoye,RU,43.919,46.7102,39.38,79,92,5.73,overcast clouds
289,Marzuq,YE,14.4,46.4667,69.93,19,21,1.28,few clouds
290,Manokwari,ID,-0.8667,134.0833,81.97,77,96,5.19,overcast clouds
291,Bowen,AU,-20.0167,148.2333,82.44,68,95,13.04,overcast clouds
292,Ballina,AU,-28.8667,153.5667,76.01,92,100,1.54,light rain
293,Taoudenni,ML,22.6783,-3.9836,77.11,15,85,7.36,overcast clouds
294,Castro,BR,-24.7911,-50.0119,59.99,95,36,2.21,scattered clouds
295,Narasannapeta,IN,18.4167,84.05,89.8,54,13,10.33,few clouds
296,Ous,RU,60.9058,61.5186,21.24,87,100,11.41,overcast clouds
297,Kaitangata,NZ,-46.2817,169.8464,60.06,71,1,6.55,clear sky
298,Waipawa,NZ,-41.4122,175.5153,55.71,84,98,11.39,overcast clouds
299,Grindavik,IS,63.8424,-22.4338,34.27,100,100,9.22,light rain and snow
300,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,91,92,18.48,overcast clouds
301,Wangqing,CN,43.3218,129.7634,41.23,31,80,16.35,broken clouds
302,Humboldt,US,40.6665,-123.9178,45.86,96,100,1.01,overcast clouds
303,Madimba,TZ,-10.4,40.3333,76.53,89,14,4.74,few clouds
304,Prince Rupert,CA,54.3161,-130.3201,41.09,93,100,2.3,overcast clouds
305,Pingliang,CN,35.5392,106.6861,50.92,23,69,10.6,broken clouds
306,Vrutky,SK,49.1133,18.9171,44.78,92,71,5.3,broken clouds
307,Dumra,IN,26.5667,85.5167,88.34,11,0,8.68,clear sky
308,Caceres,ES,39.522,-6.3748,44.71,92,1,6.26,clear sky
309,Pagudpud,PH,18.5616,120.7868,88.72,64,5,14.18,clear sky
310,Alice Springs,AU,-23.7,133.8833,85.55,10,0,8.05,clear sky
311,Sao Filipe,CV,14.8961,-24.4956,68.7,74,84,4.97,broken clouds
312,Colquechaca,BO,-18.6667,-66.0167,33.24,88,73,4.09,broken clouds
313,Saint-Joseph,RE,-21.3667,55.6167,79.21,77,11,7.14,few clouds
314,Wakkanai,JP,45.4094,141.6739,38.77,82,74,27.56,broken clouds
315,Sehithwa,BW,-20.4667,22.7167,67.53,78,15,5.7,few clouds
316,Finote Selam,ET,10.7,37.2667,63.23,37,39,1.21,scattered clouds
317,Jaltenango,MX,15.8719,-92.7247,63.57,81,86,2.46,overcast clouds
318,Moose Factory,CA,51.2585,-80.6094,2.17,94,100,11.88,light snow
319,Faanui,PF,-16.4833,-151.75,82.0,73,19,11.43,few clouds
320,Muzhi,RU,65.3667,64.6667,0.36,98,100,8.28,overcast clouds
321,Sotuta,MX,20.6,-89.0167,62.67,74,64,2.95,broken clouds
322,Ashington,GB,50.9331,-0.3909,48.18,85,0,9.93,clear sky
323,Bandarbeyla,SO,9.4942,50.8122,76.75,64,9,6.93,clear sky
